sexe,age,distance_parcourus_KM,nombre_heure_retard,travail,premiere_fois,nb_heure_travail_semaine,Tutorat,provenance,vehicule,vis_seul,etat_matrimonial,heure_moyenne_sommeil,Nom_cours,classe
0,37,28,10,0,1,5,0,3,0,0,0,10,Programmation orientee objet,0
0,36,26,1,0,1,0,1,4,0,1,1,5,Langages de programmation avances,0
0,28,24,3,1,0,27,1,2,1,0,1,4,Genie logiciel,1
0,37,5,22,0,1,2,0,0,1,0,1,8,Mathematiques discretes,1
1,34,22,11,0,0,13,0,4,0,0,1,7,Francais 1,1
1,31,19,16,1,0,16,0,3,0,0,0,4,Francais 3,1
0,24,11,8,0,1,33,1,3,1,0,0,7,Machine Learning,0
0,26,11,3,1,1,25,0,0,1,1,0,5,Francais 3,1
0,21,23,10,1,1,29,1,2,1,0,0,10,Robotique,1
0,20,26,20,0,1,2,1,0,0,0,0,4,Robotique,0
0,22,12,3,1,1,35,1,2,0,1,0,7,Anglais,1
1,26,16,7,0,0,13,1,1,0,1,0,8,Robotique,0
0,17,28,9,1,0,1,1,0,1,1,0,8,Francais 3,1
1,19,14,24,0,1,22,0,3,0,1,0,7,Reseaux informatiques,0
0,26,17,8,1,0,16,1,4,1,1,0,8,Philosophie 1,1
1,26,17,19,0,0,21,1,1,0,0,1,7,Big Data Analytics,0
0,39,22,23,0,0,14,1,1,1,1,1,6,Peripheriques et objets connectes,1
0,23,10,25,1,0,16,1,1,1,0,1,9,Application mobile 1,1
0,29,2,14,0,0,7,1,3,0,1,1,10,Big Data Analytics,0
1,19,7,25,1,1,28,0,1,0,1,0,10,Espagnol,1
0,26,20,7,1,0,27,0,3,1,0,1,4,Application mobile 2,1
1,25,27,7,0,0,19,0,2,0,1,0,10,Algorithmes avances,0
0,35,10,2,1,1,14,0,2,1,0,1,4,Application mobile 1,0
1,26,27,19,0,1,27,0,4,1,0,1,7,Securite informatique,1
0,25,10,22,1,1,18,1,0,0,1,1,10,Intelligence artificielle 2,0
1,29,30,19,1,1,19,0,0,1,0,0,10,Philosophie 3,1
0,29,25,2,0,0,14,1,1,0,1,1,7,Reseaux informatiques,1
0,40,24,13,1,0,23,1,1,1,1,0,8,Algorithmes avances,1
0,30,13,14,1,1,35,1,1,1,1,1,7,Reseaux informatiques,1
0,20,11,21,0,0,32,1,1,0,0,1,9,Genie logiciel,0
0,20,15,22,0,0,13,1,0,0,0,0,5,Francais 3,0
0,39,10,1,0,1,25,1,4,0,0,1,6,Fracais 2,0
1,24,27,17,1,1,3,0,1,1,1,1,5,Reseaux informatiques,0
0,31,4,15,0,0,0,0,2,1,0,0,7,Fracais 2,1
0,22,27,5,0,0,9,0,2,0,0,0,8,Mathematiques discretes,0
0,25,4,16,1,1,11,0,2,0,1,0,7,Intelligence artificielle 1,0
1,32,12,23,1,0,8,1,1,1,1,0,5,Conception de bases de donnees,1
0,35,2,6,1,0,30,0,3,1,0,0,6,Philosophie 3,1
1,32,29,21,0,1,32,0,2,0,1,1,4,Espagnol,0
0,28,17,6,0,1,35,0,3,1,0,1,5,Francais 1,1
1,37,27,0,0,1,10,1,1,0,1,1,4,Big Data Analytics,1
1,33,18,18,1,1,27,1,4,0,0,1,8,Intelligence artificielle 2,1
