sexe,age,distance_parcourus,nombre_heure_retard,travail,premiere_fois,nb_heure_travail_semaine,Tutorat,nationalite,vehicule,vis_seul,etat_matrimonial,heure_moyenne_sommeil,Nom_cours,classe
M,18,23,6,oui,oui,59,non,Oceanie,oui,non,celibataire,5,Traitement du langage naturel,cours echoue
F,27,91,7,non,non,52,oui,Amerique,oui,non,en couple,5,Intelligence artificielle ethique,cours reussit
M,36,52,1,non,non,23,non,Asie,non,non,en couple,9,Programmation orientee objet,cours reussit
M,23,95,7,non,oui,2,non,Afrique,oui,non,celibataire,10,Reseaux informatiques,cours echoue
F,26,18,5,oui,non,50,non,Afrique,non,non,celibataire,9,Espagnol,cours echoue
M,23,81,9,oui,non,4,oui,Afrique,non,non,en couple,6,Espagnol,cours echoue
F,33,24,2,oui,oui,52,oui,Amerique,non,oui,celibataire,4,Francais 1,cours echoue
M,40,46,4,oui,oui,50,non,Asie,oui,non,celibataire,6,Systemes d'exploitation,cours echoue
F,29,80,5,non,oui,47,oui,Amerique,non,non,celibataire,7,Philosophie 1,cours reussit
M,33,60,5,non,oui,57,non,Oceanie,oui,oui,celibataire,6,Philosophie 2,cours reussit
F,34,78,9,oui,oui,29,non,Europe,non,oui,en couple,7,Intelligence artificielle 2,cours echoue
M,22,66,9,non,oui,55,oui,Asie,non,oui,celibataire,5,Algorithmes avances,cours reussit
F,24,11,5,oui,non,29,oui,Asie,oui,non,celibataire,4,Intelligence artificielle 1,cours reussit
F,28,59,0,oui,oui,13,oui,Europe,oui,non,en couple,6,Reseaux informatiques,cours echoue
F,26,43,2,non,non,41,oui,Asie,oui,non,celibataire,5,Philosophie 1,cours echoue
M,23,91,4,oui,non,30,non,Asie,non,oui,celibataire,7,Application mobile 1,cours echoue
M,18,84,2,non,non,22,oui,Europe,non,non,en couple,4,Big Data Analytics,cours echoue
M,37,44,4,non,oui,13,oui,Asie,oui,oui,celibataire,7,Intelligence artificielle ethique,cours echoue
F,24,75,2,oui,non,12,oui,Asie,oui,non,celibataire,9,Mathematiques discretes,cours reussit
F,32,72,2,non,oui,17,oui,Amerique,non,non,en couple,10,Machine Learning,cours reussit
M,20,64,2,oui,oui,27,oui,Asie,non,oui,celibataire,9,Developpement web avance,cours echoue
F,35,84,4,non,oui,23,non,Europe,oui,non,celibataire,8,Philosophie 2,cours reussit
M,23,76,7,non,non,54,non,Oceanie,non,oui,celibataire,4,Fracais 2,cours echoue
F,32,40,2,non,non,44,non,Afrique,oui,non,celibataire,5,Philosophie 3,cours reussit
M,30,73,7,oui,non,56,non,Afrique,non,non,en couple,9,Intelligence artificielle ethique,cours reussit
M,37,0,3,non,oui,25,non,Asie,oui,non,celibataire,4,Espagnol,cours echoue
F,30,49,5,oui,non,41,oui,Oceanie,oui,non,en couple,4,Mathematiques discretes,cours reussit
F,18,100,4,oui,oui,21,oui,Afrique,non,oui,en couple,9,Langages de programmation avances,cours reussit
F,21,72,3,oui,non,5,non,Oceanie,oui,oui,en couple,6,Big Data Analytics,cours echoue
F,35,1,2,oui,oui,51,oui,Amerique,oui,oui,celibataire,7,Algorithmes avances,cours echoue
M,20,8,1,non,non,14,oui,Asie,non,oui,en couple,7,Anglais,cours echoue
F,19,84,0,oui,non,58,oui,Oceanie,non,oui,celibataire,10,Intelligence artificielle ethique,cours echoue
F,35,29,2,oui,non,34,oui,Oceanie,oui,oui,celibataire,4,Machine Learning,cours reussit
F,29,30,0,non,oui,25,oui,Asie,non,non,en couple,8,Developpement web avance,cours reussit
F,33,16,3,oui,oui,30,oui,Amerique,non,non,celibataire,7,Programmation orientee objet,cours reussit
F,30,1,5,oui,non,3,oui,Amerique,non,non,en couple,4,Mathematiques discretes,cours reussit
M,33,22,7,non,oui,37,non,Asie,oui,non,celibataire,9,Intelligence artificielle ethique,cours echoue
F,20,22,1,non,non,39,oui,Asie,non,oui,en couple,7,Philosophie 3,cours echoue
M,19,67,8,oui,oui,42,oui,Europe,non,oui,celibataire,4,Traitement du langage naturel,cours echoue
F,36,47,7,non,oui,34,non,Oceanie,oui,oui,en couple,7,Structure de base de donnees,cours reussit
M,21,90,9,oui,non,42,non,Afrique,non,non,celibataire,6,Intelligence artificielle 2,cours echoue
M,29,70,7,oui,oui,2,oui,Afrique,oui,oui,celibataire,8,Programmation orientee objet,cours echoue
M,39,67,9,oui,non,44,oui,Europe,non,non,celibataire,10,Fracais 2,cours echoue
F,24,20,2,non,non,42,oui,Amerique,oui,non,celibataire,6,Fracais 2,cours reussit
M,21,58,4,non,non,24,non,Afrique,non,non,en couple,8,Philosophie 1,cours echoue
F,32,33,7,non,oui,41,oui,Amerique,non,non,celibataire,5,Francais 1,cours reussit
F,28,11,6,oui,non,41,oui,Afrique,oui,non,en couple,10,Big Data Analytics,cours echoue
M,27,47,5,oui,oui,30,oui,Europe,oui,oui,en couple,6,Philosophie 2,cours echoue
M,39,67,3,non,non,47,non,Afrique,non,non,celibataire,5,Application mobile 2,cours reussit
F,24,94,10,oui,oui,55,non,Amerique,oui,non,celibataire,5,Philosophie 1,cours reussit
F,25,5,5,non,oui,6,oui,Asie,non,non,celibataire,5,Algorithmes avances,cours echoue
M,25,63,10,non,oui,19,non,Oceanie,non,oui,celibataire,8,Fracais 2,cours echoue
F,32,50,9,non,oui,48,non,Asie,non,oui,celibataire,4,Machine Learning,cours reussit
F,38,7,1,oui,non,26,non,Oceanie,non,non,celibataire,7,Robotique,cours echoue
M,21,24,7,oui,oui,37,non,Oceanie,oui,non,en couple,4,Espagnol,cours reussit
M,37,14,2,non,non,33,oui,Asie,oui,non,en couple,9,Fracais 2,cours echoue
M,22,29,10,oui,oui,39,non,Afrique,non,non,en couple,5,Developpement web avance,cours echoue
M,24,52,9,non,oui,20,non,Amerique,oui,non,celibataire,10,Francais 3,cours reussit
M,31,3,5,non,non,24,non,Oceanie,oui,non,celibataire,9,Intelligence artificielle 1,cours reussit
F,32,30,4,non,oui,18,non,Oceanie,non,oui,en couple,8,Peripheriques et objets connectes,cours reussit
M,19,18,0,non,non,2,non,Oceanie,oui,non,celibataire,5,Application mobile 2,cours reussit
F,31,45,9,oui,oui,36,non,Oceanie,non,oui,celibataire,8,Philosophie 1,cours reussit
F,29,92,3,non,non,60,oui,Oceanie,non,non,celibataire,4,Systemes d'exploitation,cours echoue
M,28,2,3,oui,oui,28,oui,Asie,oui,oui,en couple,6,Peripheriques et objets connectes,cours echoue
F,32,97,10,oui,non,13,non,Asie,oui,non,celibataire,6,Langages de programmation avances,cours echoue
F,18,95,1,oui,non,38,non,Afrique,non,non,en couple,6,Reseaux informatiques,cours reussit
M,27,82,9,non,non,45,non,Afrique,non,oui,en couple,9,Big Data Analytics,cours echoue
F,22,63,3,oui,non,14,oui,Europe,non,oui,celibataire,5,Machine Learning,cours reussit
M,29,5,10,non,oui,47,non,Oceanie,non,non,celibataire,4,Mathematiques discretes,cours echoue
M,27,40,10,non,non,18,non,Oceanie,non,non,en couple,7,Reseaux informatiques,cours echoue
F,35,48,0,non,oui,29,non,Amerique,oui,non,celibataire,8,Reseaux informatiques,cours echoue
M,33,22,0,non,oui,56,non,Oceanie,oui,oui,en couple,7,Application mobile 1,cours reussit
M,31,4,1,oui,non,51,non,Asie,non,oui,en couple,8,Robotique,cours echoue
F,18,8,4,oui,oui,45,oui,Europe,non,oui,en couple,6,Langages de programmation avances,cours echoue
F,26,73,9,non,oui,56,non,Europe,non,oui,en couple,7,Intelligence artificielle ethique,cours echoue
F,19,59,0,non,oui,51,non,Oceanie,oui,oui,celibataire,5,Programmation orientee objet,cours echoue
F,35,98,3,oui,oui,39,oui,Asie,non,non,en couple,6,Anglais,cours echoue
M,35,41,2,oui,oui,25,non,Oceanie,non,non,en couple,9,Big Data Analytics,cours echoue
F,32,82,3,oui,non,18,non,Oceanie,non,non,celibataire,5,Philosophie 2,cours reussit
M,30,39,5,non,non,60,non,Europe,oui,oui,en couple,5,Big Data Analytics,cours reussit
M,29,36,6,oui,oui,47,oui,Oceanie,oui,non,celibataire,4,Developpement web avance,cours reussit
F,35,79,10,non,oui,29,non,Oceanie,non,oui,en couple,5,Philosophie 1,cours echoue
F,26,12,10,non,oui,52,oui,Asie,oui,oui,en couple,4,Espagnol,cours reussit
M,23,61,4,non,non,55,non,Afrique,non,oui,en couple,8,Peripheriques et objets connectes,cours reussit
M,20,70,0,oui,non,39,non,Asie,non,oui,en couple,5,Langages de programmation avances,cours echoue
M,33,61,7,non,oui,15,non,Asie,non,non,en couple,8,Algorithmes avances,cours reussit
M,24,75,0,non,oui,38,oui,Oceanie,non,non,celibataire,8,Programmation orientee objet,cours echoue
M,34,58,8,oui,non,20,non,Afrique,non,oui,en couple,5,Anglais,cours reussit
M,19,35,6,non,non,8,non,Asie,oui,non,en couple,10,Conception de bases de donnees,cours reussit
F,21,75,6,oui,oui,20,oui,Europe,oui,non,celibataire,5,Securite informatique,cours reussit
M,35,91,8,oui,oui,23,oui,Oceanie,non,oui,celibataire,10,Robotique,cours echoue
M,21,28,9,non,non,37,non,Oceanie,non,oui,en couple,7,Systemes d'exploitation,cours reussit
F,25,55,1,oui,non,34,non,Oceanie,oui,oui,celibataire,4,Genie logiciel,cours echoue
F,21,95,0,non,non,46,oui,Afrique,oui,non,celibataire,6,Espagnol,cours echoue
F,25,55,8,oui,oui,12,oui,Oceanie,non,oui,celibataire,8,Reseaux informatiques,cours echoue
F,27,12,10,non,non,41,oui,Amerique,oui,non,en couple,10,Peripheriques et objets connectes,cours reussit
F,19,96,6,non,non,23,non,Europe,non,oui,celibataire,4,Mathematiques discretes,cours reussit
M,37,4,4,oui,oui,23,non,Asie,oui,oui,en couple,5,Intelligence artificielle ethique,cours reussit
M,23,5,5,oui,non,45,oui,Amerique,oui,oui,en couple,7,Traitement du langage naturel,cours echoue
F,33,63,6,non,oui,8,oui,Amerique,oui,oui,en couple,8,Francais 3,cours reussit
M,40,91,8,oui,non,54,oui,Europe,non,oui,celibataire,6,Reseaux informatiques,cours reussit
F,30,94,7,non,oui,46,non,Afrique,oui,oui,celibataire,10,Securite informatique,cours reussit
F,33,70,3,non,oui,10,oui,Asie,non,non,en couple,7,Structure de base de donnees,cours reussit
F,30,82,5,oui,non,4,non,Europe,oui,non,en couple,7,Philosophie 3,cours reussit
M,18,5,1,non,oui,6,non,Afrique,non,non,en couple,8,Fracais 2,cours reussit
M,18,97,4,oui,oui,27,non,Afrique,non,non,celibataire,6,Peripheriques et objets connectes,cours reussit
M,34,22,1,oui,non,12,non,Oceanie,oui,non,en couple,4,Programmation orientee objet,cours echoue
F,34,61,10,oui,oui,19,oui,Oceanie,oui,oui,en couple,6,Langages de programmation avances,cours reussit
M,29,19,8,oui,non,11,non,Europe,oui,non,celibataire,5,Intelligence artificielle 1,cours reussit
F,32,0,8,oui,non,16,non,Oceanie,non,oui,en couple,4,Systemes d'exploitation,cours reussit
M,34,98,7,non,oui,38,non,Europe,non,non,en couple,7,Traitement du langage naturel,cours reussit
M,32,64,5,non,oui,31,oui,Amerique,non,non,celibataire,4,Mathematiques discretes,cours echoue
F,40,54,1,oui,oui,24,oui,Afrique,oui,oui,en couple,4,Robotique,cours reussit
M,37,50,4,non,oui,24,non,Asie,oui,non,en couple,10,Programmation orientee objet,cours reussit
F,27,37,6,oui,oui,32,oui,Oceanie,non,non,celibataire,6,Francais 3,cours echoue
M,30,24,4,non,oui,22,non,Asie,oui,non,celibataire,8,Mathematiques discretes,cours echoue
F,40,8,4,non,oui,26,oui,Europe,oui,oui,celibataire,7,Langages de programmation avances,cours reussit
F,18,90,6,oui,oui,31,non,Europe,oui,oui,en couple,9,Mathematiques discretes,cours echoue
M,22,66,9,non,oui,24,non,Amerique,non,non,en couple,10,Developpement web avance,cours echoue
F,34,66,5,oui,non,11,oui,Afrique,non,oui,en couple,9,Developpement web avance,cours echoue
M,26,96,6,oui,non,13,non,Afrique,oui,non,en couple,9,Philosophie 3,cours echoue
F,29,87,7,non,oui,7,oui,Amerique,oui,non,celibataire,8,Genie logiciel,cours echoue
M,28,87,0,oui,oui,14,oui,Asie,oui,non,celibataire,4,Programmation orientee objet,cours echoue
F,31,40,4,non,non,55,non,Amerique,oui,oui,en couple,7,Machine Learning,cours echoue
F,40,14,0,oui,oui,52,oui,Asie,non,oui,celibataire,7,Intelligence artificielle ethique,cours reussit
F,38,1,1,oui,oui,48,oui,Europe,non,oui,celibataire,9,Traitement du langage naturel,cours echoue
F,32,73,6,non,non,23,non,Oceanie,non,non,en couple,9,Anglais,cours reussit
M,26,54,1,non,oui,43,non,Amerique,oui,oui,en couple,4,Big Data Analytics,cours reussit
M,25,79,9,oui,oui,13,non,Asie,oui,oui,en couple,8,Francais 3,cours reussit
F,39,8,3,oui,non,54,non,Oceanie,non,oui,en couple,5,Philosophie 3,cours reussit
